material_id,中文名,英文名,实体类型,父级ID,分类路径
alpha_beta_titanium_alloy,α+β型钛合金,Alpha-beta titanium alloy,subfamily,titanium_alloy,金属与合金 > 有色金属 > 钛及钛合金 > α+β型钛合金
ti_tc11,TC11,TC11 titanium alloy,grade,alpha_beta_titanium_alloy,金属与合金 > 有色金属 > 钛及钛合金 > α+β型钛合金 > TC11
ti_tc4,TC4 / Ti-6Al-4V,Ti-6Al-4V titanium alloy,grade,alpha_beta_titanium_alloy,金属与合金 > 有色金属 > 钛及钛合金 > α+β型钛合金 > TC4 / Ti-6Al-4V
ti_6al_4v_eli,Ti-6Al-4V ELI,Extra-low-interstitial Ti-6Al-4V,grade,alpha_beta_titanium_alloy,金属与合金 > 有色金属 > 钛及钛合金 > α+β型钛合金 > Ti-6Al-4V ELI
alpha_titanium_alloy,α型钛合金,Alpha titanium alloy,subfamily,titanium_alloy,金属与合金 > 有色金属 > 钛及钛合金 > α型钛合金
beta_titanium_alloy,β型钛合金,Beta titanium alloy,subfamily,titanium_alloy,金属与合金 > 有色金属 > 钛及钛合金 > β型钛合金
ti_tb6,TB6,TB6 beta titanium alloy,grade,beta_titanium_alloy,金属与合金 > 有色金属 > 钛及钛合金 > β型钛合金 > TB6
commercially_pure_titanium,工业纯钛,Commercially pure titanium,subfamily,titanium_alloy,金属与合金 > 有色金属 > 钛及钛合金 > 工业纯钛
ti_ta1,TA1,TA1 commercially pure titanium,grade,commercially_pure_titanium,金属与合金 > 有色金属 > 钛及钛合金 > 工业纯钛 > TA1
ti_ta2,TA2,TA2 commercially pure titanium,grade,commercially_pure_titanium,金属与合金 > 有色金属 > 钛及钛合金 > 工业纯钛 > TA2
near_alpha_titanium_alloy,近α型钛合金,Near-alpha titanium alloy,subfamily,titanium_alloy,金属与合金 > 有色金属 > 钛及钛合金 > 近α型钛合金
ti_ta15,TA15,TA15 titanium alloy,grade,near_alpha_titanium_alloy,金属与合金 > 有色金属 > 钛及钛合金 > 近α型钛合金 > TA15
oxygen_free_copper,无氧铜,Oxygen-free copper,subfamily,copper_alloy,金属与合金 > 有色金属 > 铜及铜合金 > 无氧铜
cu_tu1,TU1,TU1 oxygen-free copper,grade,oxygen_free_copper,金属与合金 > 有色金属 > 铜及铜合金 > 无氧铜 > TU1
cupronickel,白铜,Cupronickel,subfamily,copper_alloy,金属与合金 > 有色金属 > 铜及铜合金 > 白铜
cu_b30,B30,B30 cupronickel,grade,cupronickel,金属与合金 > 有色金属 > 铜及铜合金 > 白铜 > B30
phosphor_bronze,磷青铜,Phosphor bronze,subfamily,copper_alloy,金属与合金 > 有色金属 > 铜及铜合金 > 磷青铜
cu_qsn6_5_0_1,QSn6.5-0.1,QSn6.5-0.1 phosphor bronze,grade,phosphor_bronze,金属与合金 > 有色金属 > 铜及铜合金 > 磷青铜 > QSn6.5-0.1
pure_copper,纯铜,Pure copper,subfamily,copper_alloy,金属与合金 > 有色金属 > 铜及铜合金 > 纯铜
cu_t2,T2,T2 copper,grade,pure_copper,金属与合金 > 有色金属 > 铜及铜合金 > 纯铜 > T2
beryllium_copper,铍铜,Beryllium copper,subfamily,copper_alloy,金属与合金 > 有色金属 > 铜及铜合金 > 铍铜
cu_qbe2,QBe2,QBe2 beryllium copper,grade,beryllium_copper,金属与合金 > 有色金属 > 铜及铜合金 > 铍铜 > QBe2
aluminum_bronze,铝青铜,Aluminium bronze,subfamily,copper_alloy,金属与合金 > 有色金属 > 铜及铜合金 > 铝青铜
cu_qal9_4,QAl9-4,QAl9-4 aluminium bronze,grade,aluminum_bronze,金属与合金 > 有色金属 > 铜及铜合金 > 铝青铜 > QAl9-4
chromium_zirconium_copper,铬锆铜,Chromium zirconium copper,subfamily,copper_alloy,金属与合金 > 有色金属 > 铜及铜合金 > 铬锆铜
cu_cucrzr,CuCrZr,CuCrZr alloy,grade,chromium_zirconium_copper,金属与合金 > 有色金属 > 铜及铜合金 > 铬锆铜 > CuCrZr
tin_bronze,锡青铜,Tin bronze,subfamily,copper_alloy,金属与合金 > 有色金属 > 铜及铜合金 > 锡青铜
brass,黄铜,Brass,subfamily,copper_alloy,金属与合金 > 有色金属 > 铜及铜合金 > 黄铜
cu_h62,H62,H62 brass,grade,brass,金属与合金 > 有色金属 > 铜及铜合金 > 黄铜 > H62
cu_h68,H68,H68 brass,grade,brass,金属与合金 > 有色金属 > 铜及铜合金 > 黄铜 > H68
al_1xxx,1xxx系纯铝,1xxx series aluminium,subfamily,aluminum_alloy,金属与合金 > 有色金属 > 铝及铝合金 > 1xxx系纯铝
al_1050,1050,AA 1050 aluminium,grade,al_1xxx,金属与合金 > 有色金属 > 铝及铝合金 > 1xxx系纯铝 > 1050
al_1060,1060,AA 1060 aluminium,grade,al_1xxx,金属与合金 > 有色金属 > 铝及铝合金 > 1xxx系纯铝 > 1060
al_2xxx,2xxx系铝铜合金,2xxx Al-Cu alloys,subfamily,aluminum_alloy,金属与合金 > 有色金属 > 铝及铝合金 > 2xxx系铝铜合金
al_2024,2024,AA 2024 aluminium alloy,grade,al_2xxx,金属与合金 > 有色金属 > 铝及铝合金 > 2xxx系铝铜合金 > 2024
al_3xxx,3xxx系铝锰合金,3xxx Al-Mn alloys,subfamily,aluminum_alloy,金属与合金 > 有色金属 > 铝及铝合金 > 3xxx系铝锰合金
al_3003,3003,AA 3003 aluminium alloy,grade,al_3xxx,金属与合金 > 有色金属 > 铝及铝合金 > 3xxx系铝锰合金 > 3003
al_4xxx,4xxx系铝硅合金,4xxx Al-Si alloys,subfamily,aluminum_alloy,金属与合金 > 有色金属 > 铝及铝合金 > 4xxx系铝硅合金
al_5xxx,5xxx系铝镁合金,5xxx Al-Mg alloys,subfamily,aluminum_alloy,金属与合金 > 有色金属 > 铝及铝合金 > 5xxx系铝镁合金
al_5052,5052,AA 5052 aluminium alloy,grade,al_5xxx,金属与合金 > 有色金属 > 铝及铝合金 > 5xxx系铝镁合金 > 5052
al_5083,5083,AA 5083 aluminium alloy,grade,al_5xxx,金属与合金 > 有色金属 > 铝及铝合金 > 5xxx系铝镁合金 > 5083
al_6xxx,6xxx系铝镁硅合金,6xxx Al-Mg-Si alloys,subfamily,aluminum_alloy,金属与合金 > 有色金属 > 铝及铝合金 > 6xxx系铝镁硅合金
al_6061,6061,AA 6061 aluminium alloy,grade,al_6xxx,金属与合金 > 有色金属 > 铝及铝合金 > 6xxx系铝镁硅合金 > 6061
al_6063,6063,AA 6063 aluminium alloy,grade,al_6xxx,金属与合金 > 有色金属 > 铝及铝合金 > 6xxx系铝镁硅合金 > 6063
al_7xxx,7xxx系铝锌镁合金,7xxx Al-Zn-Mg alloys,subfamily,aluminum_alloy,金属与合金 > 有色金属 > 铝及铝合金 > 7xxx系铝锌镁合金
al_7075,7075,AA 7075 aluminium alloy,grade,al_7xxx,金属与合金 > 有色金属 > 铝及铝合金 > 7xxx系铝锌镁合金 > 7075
pure_aluminum,纯铝,Pure aluminium,subfamily,aluminum_alloy,金属与合金 > 有色金属 > 铝及铝合金 > 纯铝
cast_aluminum_alloy,铸造铝合金,Cast aluminium alloys,subfamily,aluminum_alloy,金属与合金 > 有色金属 > 铝及铝合金 > 铸造铝合金
al_adc12,ADC12,ADC12 die-casting aluminium alloy,grade,cast_aluminum_alloy,金属与合金 > 有色金属 > 铝及铝合金 > 铸造铝合金 > ADC12
al_zl101,ZL101,ZL101 cast aluminium alloy,grade,cast_aluminum_alloy,金属与合金 > 有色金属 > 铝及铝合金 > 铸造铝合金 > ZL101
mg_al_mn,Mg-Al-Mn系,Mg-Al-Mn magnesium alloys,subfamily,magnesium_alloy,金属与合金 > 有色金属 > 镁及镁合金 > Mg-Al-Mn系
mg_am60,AM60,AM60 magnesium alloy,grade,mg_al_mn,金属与合金 > 有色金属 > 镁及镁合金 > Mg-Al-Mn系 > AM60
mg_al_zn,Mg-Al-Zn系,Mg-Al-Zn magnesium alloys,subfamily,magnesium_alloy,金属与合金 > 有色金属 > 镁及镁合金 > Mg-Al-Zn系
mg_az31,AZ31,AZ31 magnesium alloy,grade,mg_al_zn,金属与合金 > 有色金属 > 镁及镁合金 > Mg-Al-Zn系 > AZ31
mg_az91,AZ91,AZ91 magnesium alloy,grade,mg_al_zn,金属与合金 > 有色金属 > 镁及镁合金 > Mg-Al-Zn系 > AZ91
mg_zn_zr,Mg-Zn-Zr系,Mg-Zn-Zr magnesium alloys,subfamily,magnesium_alloy,金属与合金 > 有色金属 > 镁及镁合金 > Mg-Zn-Zr系
mg_zk60,ZK60,ZK60 magnesium alloy,grade,mg_zn_zr,金属与合金 > 有色金属 > 镁及镁合金 > Mg-Zn-Zr系 > ZK60
rare_earth_magnesium,稀土镁合金,Rare-earth magnesium alloys,subfamily,magnesium_alloy,金属与合金 > 有色金属 > 镁及镁合金 > 稀土镁合金
mg_we43,WE43,WE43 magnesium alloy,grade,rare_earth_magnesium,金属与合金 > 有色金属 > 镁及镁合金 > 稀土镁合金 > WE43
commercial_nickel,工业纯镍,Commercially pure nickel,subfamily,nickel_alloy,金属与合金 > 有色金属 > 镍及镍合金 > 工业纯镍
ni_200,Ni 200,Nickel 200,grade,commercial_nickel,金属与合金 > 有色金属 > 镍及镍合金 > 工业纯镍 > Ni 200
nickel_copper_alloy,镍铜合金,Nickel-copper alloy,subfamily,nickel_alloy,金属与合金 > 有色金属 > 镍及镍合金 > 镍铜合金
monel_400,Monel 400,Monel 400 nickel-copper alloy,grade,nickel_copper_alloy,金属与合金 > 有色金属 > 镍及镍合金 > 镍铜合金 > Monel 400
nickel_chromium_alloy,镍铬合金,Nickel-chromium alloy,subfamily,nickel_alloy,金属与合金 > 有色金属 > 镍及镍合金 > 镍铬合金
inconel_600,Inconel 600,Inconel 600,grade,nickel_chromium_alloy,金属与合金 > 有色金属 > 镍及镍合金 > 镍铬合金 > Inconel 600
nickel_chromium_molybdenum,镍铬钼耐蚀合金,Ni-Cr-Mo corrosion-resistant alloy,subfamily,nickel_alloy,金属与合金 > 有色金属 > 镍及镍合金 > 镍铬钼耐蚀合金
hastelloy_c276,Hastelloy C-276,Hastelloy C-276,grade,nickel_chromium_molybdenum,金属与合金 > 有色金属 > 镍及镍合金 > 镍铬钼耐蚀合金 > Hastelloy C-276
inconel_625,Inconel 625,Inconel 625,grade,nickel_chromium_molybdenum,金属与合金 > 有色金属 > 镍及镍合金 > 镍铬钼耐蚀合金 > Inconel 625
precious_metals,贵金属,Precious metals,family,,金属与合金 > 贵金属
intermetallics,金属间化合物,Intermetallic compounds,family,,金属与合金 > 金属间化合物
refractory_metals,难熔金属,Refractory metals,family,,金属与合金 > 难熔金属
superalloys,高温合金,Superalloys,family,,金属与合金 > 高温合金
single_crystal_superalloy,单晶高温合金,Single-crystal superalloy,subfamily,nickel_superalloy,金属与合金 > 高温合金 > 镍基高温合金 > 单晶高温合金
wrought_superalloy,变形高温合金,Wrought superalloy,subfamily,nickel_superalloy,金属与合金 > 高温合金 > 镍基高温合金 > 变形高温合金
gh4169,GH4169,GH4169 superalloy,grade,wrought_superalloy,金属与合金 > 高温合金 > 镍基高温合金 > 变形高温合金 > GH4169
inconel_718,Inconel 718,Inconel 718,grade,wrought_superalloy,金属与合金 > 高温合金 > 镍基高温合金 > 变形高温合金 > Inconel 718
powder_superalloy,粉末高温合金,Powder metallurgy superalloy,subfamily,nickel_superalloy,金属与合金 > 高温合金 > 镍基高温合金 > 粉末高温合金
cast_superalloy,铸造高温合金,Cast superalloy,subfamily,nickel_superalloy,金属与合金 > 高温合金 > 镍基高温合金 > 铸造高温合金
k418,K418,K418 cast superalloy,grade,cast_superalloy,金属与合金 > 高温合金 > 镍基高温合金 > 铸造高温合金 > K418
ferrous_metals,黑色金属,Ferrous metals,family,,金属与合金 > 黑色金属
duplex_stainless_steel,双相不锈钢,Duplex stainless steel,subfamily,stainless_steel,金属与合金 > 黑色金属 > 钢 > 不锈钢 > 双相不锈钢
ss_2205,2205,2205 duplex stainless steel,grade,duplex_stainless_steel,金属与合金 > 黑色金属 > 钢 > 不锈钢 > 双相不锈钢 > 2205
austenitic_stainless_steel,奥氏体不锈钢,Austenitic stainless steel,subfamily,stainless_steel,金属与合金 > 黑色金属 > 钢 > 不锈钢 > 奥氏体不锈钢
ss_304,304,AISI 304 stainless steel,grade,austenitic_stainless_steel,金属与合金 > 黑色金属 > 钢 > 不锈钢 > 奥氏体不锈钢 > 304
ss_304l,304L,AISI 304L stainless steel,grade,austenitic_stainless_steel,金属与合金 > 黑色金属 > 钢 > 不锈钢 > 奥氏体不锈钢 > 304L
ss_310s,310S,AISI 310S stainless steel,grade,austenitic_stainless_steel,金属与合金 > 黑色金属 > 钢 > 不锈钢 > 奥氏体不锈钢 > 310S
ss_316,316,AISI 316 stainless steel,grade,austenitic_stainless_steel,金属与合金 > 黑色金属 > 钢 > 不锈钢 > 奥氏体不锈钢 > 316
ss_316l,316L,AISI 316L stainless steel,grade,austenitic_stainless_steel,金属与合金 > 黑色金属 > 钢 > 不锈钢 > 奥氏体不锈钢 > 316L
ph_stainless_steel,沉淀硬化不锈钢,Precipitation-hardening stainless steel,subfamily,stainless_steel,金属与合金 > 黑色金属 > 钢 > 不锈钢 > 沉淀硬化不锈钢
ss_17_4ph,17-4PH,17-4 PH stainless steel,grade,ph_stainless_steel,金属与合金 > 黑色金属 > 钢 > 不锈钢 > 沉淀硬化不锈钢 > 17-4PH
ferritic_stainless_steel,铁素体不锈钢,Ferritic stainless steel,subfamily,stainless_steel,金属与合金 > 黑色金属 > 钢 > 不锈钢 > 铁素体不锈钢
ss_430,430,AISI 430 stainless steel,grade,ferritic_stainless_steel,金属与合金 > 黑色金属 > 钢 > 不锈钢 > 铁素体不锈钢 > 430
martensitic_stainless_steel,马氏体不锈钢,Martensitic stainless steel,subfamily,stainless_steel,金属与合金 > 黑色金属 > 钢 > 不锈钢 > 马氏体不锈钢
ss_410,410,AISI 410 stainless steel,grade,martensitic_stainless_steel,金属与合金 > 黑色金属 > 钢 > 不锈钢 > 马氏体不锈钢 > 410
ss_420,420,AISI 420 stainless steel,grade,martensitic_stainless_steel,金属与合金 > 黑色金属 > 钢 > 不锈钢 > 马氏体不锈钢 > 420
ss_440c,440C,AISI 440C stainless steel,grade,martensitic_stainless_steel,金属与合金 > 黑色金属 > 钢 > 不锈钢 > 马氏体不锈钢 > 440C
low_alloy_steel,低合金钢,Low-alloy steel,subfamily,steel,金属与合金 > 黑色金属 > 钢 > 低合金钢
cold_work_tool_steel,冷作模具钢,Cold-work tool steel,subfamily,tool_steel,金属与合金 > 黑色金属 > 钢 > 工具钢 > 冷作模具钢
steel_cr12,Cr12,Cr12 tool steel,grade,cold_work_tool_steel,金属与合金 > 黑色金属 > 钢 > 工具钢 > 冷作模具钢 > Cr12
steel_cr12mov,Cr12MoV,Cr12MoV tool steel,grade,cold_work_tool_steel,金属与合金 > 黑色金属 > 钢 > 工具钢 > 冷作模具钢 > Cr12MoV
steel_d2,D2,AISI D2 tool steel,grade,cold_work_tool_steel,金属与合金 > 黑色金属 > 钢 > 工具钢 > 冷作模具钢 > D2
plastic_mold_steel,塑料模具钢,Plastic mould steel,subfamily,tool_steel,金属与合金 > 黑色金属 > 钢 > 工具钢 > 塑料模具钢
steel_p20,P20,AISI P20 mould steel,grade,plastic_mold_steel,金属与合金 > 黑色金属 > 钢 > 工具钢 > 塑料模具钢 > P20
hot_work_tool_steel,热作模具钢,Hot-work tool steel,subfamily,tool_steel,金属与合金 > 黑色金属 > 钢 > 工具钢 > 热作模具钢
steel_h13,H13,AISI H13 tool steel,grade,hot_work_tool_steel,金属与合金 > 黑色金属 > 钢 > 工具钢 > 热作模具钢 > H13
carbon_tool_steel,碳素工具钢,Carbon tool steel,subfamily,tool_steel,金属与合金 > 黑色金属 > 钢 > 工具钢 > 碳素工具钢
steel_t10,T10,T10 carbon tool steel,grade,carbon_tool_steel,金属与合金 > 黑色金属 > 钢 > 工具钢 > 碳素工具钢 > T10
steel_t12,T12,T12 carbon tool steel,grade,carbon_tool_steel,金属与合金 > 黑色金属 > 钢 > 工具钢 > 碳素工具钢 > T12
steel_t8,T8,T8 carbon tool steel,grade,carbon_tool_steel,金属与合金 > 黑色金属 > 钢 > 工具钢 > 碳素工具钢 > T8
steel_m2,M2,AISI M2 high-speed steel,grade,high_speed_steel,金属与合金 > 黑色金属 > 钢 > 工具钢 > 高速工具钢 > M2
steel_w18cr4v,W18Cr4V,W18Cr4V high-speed steel,grade,high_speed_steel,金属与合金 > 黑色金属 > 钢 > 工具钢 > 高速工具钢 > W18Cr4V
steel_w6mo5cr4v2,W6Mo5Cr4V2,W6Mo5Cr4V2 high-speed steel,grade,high_speed_steel,金属与合金 > 黑色金属 > 钢 > 工具钢 > 高速工具钢 > W6Mo5Cr4V2
machine_steel,机械制造用钢,Machine-building steel,subfamily,steel,金属与合金 > 黑色金属 > 钢 > 机械制造用钢
spring_steel,弹簧钢,Spring steel,subfamily,machine_steel,金属与合金 > 黑色金属 > 钢 > 机械制造用钢 > 弹簧钢
steel_60si2mn,60Si2Mn,60Si2Mn spring steel,grade,spring_steel,金属与合金 > 黑色金属 > 钢 > 机械制造用钢 > 弹簧钢 > 60Si2Mn
steel_65mn,65Mn,65Mn spring steel,grade,spring_steel,金属与合金 > 黑色金属 > 钢 > 机械制造用钢 > 弹簧钢 > 65Mn
carburizing_steel,渗碳钢,Carburizing steel,subfamily,machine_steel,金属与合金 > 黑色金属 > 钢 > 机械制造用钢 > 渗碳钢
steel_20cr,20Cr,20Cr alloy steel,grade,carburizing_steel,金属与合金 > 黑色金属 > 钢 > 机械制造用钢 > 渗碳钢 > 20Cr
steel_20crmnti,20CrMnTi,20CrMnTi gear steel,grade,carburizing_steel,金属与合金 > 黑色金属 > 钢 > 机械制造用钢 > 渗碳钢 > 20CrMnTi
quenched_tempered_steel,调质钢,Quenched and tempered steel,subfamily,machine_steel,金属与合金 > 黑色金属 > 钢 > 机械制造用钢 > 调质钢
steel_35crmo,35CrMo,35CrMo alloy steel,grade,quenched_tempered_steel,金属与合金 > 黑色金属 > 钢 > 机械制造用钢 > 调质钢 > 35CrMo
steel_40cr,40Cr,40Cr alloy steel,grade,quenched_tempered_steel,金属与合金 > 黑色金属 > 钢 > 机械制造用钢 > 调质钢 > 40Cr
steel_42crmo,42CrMo,42CrMo alloy steel,grade,quenched_tempered_steel,金属与合金 > 黑色金属 > 钢 > 机械制造用钢 > 调质钢 > 42CrMo
bearing_steel,轴承钢,Bearing steel,subfamily,machine_steel,金属与合金 > 黑色金属 > 钢 > 机械制造用钢 > 轴承钢
steel_gcr15,GCr15,GCr15 bearing steel,grade,bearing_steel,金属与合金 > 黑色金属 > 钢 > 机械制造用钢 > 轴承钢 > GCr15
electrical_steel,电工钢,Electrical steel,subfamily,steel,金属与合金 > 黑色金属 > 钢 > 电工钢
structural_steel,结构钢,Structural steel,subfamily,steel,金属与合金 > 黑色金属 > 钢 > 结构钢
hsla_steel,低合金高强度结构钢,High-strength low-alloy steel,subfamily,structural_steel,金属与合金 > 黑色金属 > 钢 > 结构钢 > 低合金高强度结构钢
carbon_structural_steel,普通碳素结构钢,Carbon structural steel,subfamily,structural_steel,金属与合金 > 黑色金属 > 钢 > 结构钢 > 普通碳素结构钢
q235,Q235,Q235 structural steel,grade,carbon_structural_steel,金属与合金 > 黑色金属 > 钢 > 结构钢 > 普通碳素结构钢 > Q235
q275,Q275,Q275 structural steel,grade,carbon_structural_steel,金属与合金 > 黑色金属 > 钢 > 结构钢 > 普通碳素结构钢 > Q275
unalloyed_steel,非合金钢,Non-alloy steel,subfamily,steel,金属与合金 > 黑色金属 > 钢 > 非合金钢
medium_carbon_steel,中碳钢,Medium-carbon steel,subfamily,unalloyed_steel,金属与合金 > 黑色金属 > 钢 > 非合金钢 > 中碳钢
steel_35,35钢,Grade 35 carbon steel,grade,medium_carbon_steel,金属与合金 > 黑色金属 > 钢 > 非合金钢 > 中碳钢 > 35钢
steel_45,45钢,Grade 45 carbon steel,grade,medium_carbon_steel,金属与合金 > 黑色金属 > 钢 > 非合金钢 > 中碳钢 > 45钢
steel_50,50钢,Grade 50 carbon steel,grade,medium_carbon_steel,金属与合金 > 黑色金属 > 钢 > 非合金钢 > 中碳钢 > 50钢
low_carbon_steel,低碳钢,Low-carbon steel,subfamily,unalloyed_steel,金属与合金 > 黑色金属 > 钢 > 非合金钢 > 低碳钢
steel_20,20钢,Grade 20 carbon steel,grade,low_carbon_steel,金属与合金 > 黑色金属 > 钢 > 非合金钢 > 低碳钢 > 20钢
high_carbon_steel,高碳钢,High-carbon steel,subfamily,unalloyed_steel,金属与合金 > 黑色金属 > 钢 > 非合金钢 > 高碳钢
steel_65,65钢,Grade 65 carbon steel,grade,high_carbon_steel,金属与合金 > 黑色金属 > 钢 > 非合金钢 > 高碳钢 > 65钢
steel_70,70钢,Grade 70 carbon steel,grade,high_carbon_steel,金属与合金 > 黑色金属 > 钢 > 非合金钢 > 高碳钢 > 70钢
chilled_cast_iron,冷硬铸铁,Chilled cast iron,subfamily,cast_iron,金属与合金 > 黑色金属 > 铸铁 > 冷硬铸铁
malleable_cast_iron,可锻铸铁,Malleable cast iron,subfamily,cast_iron,金属与合金 > 黑色金属 > 铸铁 > 可锻铸铁
cast_kth350_10,KTH350-10,KTH350-10 malleable cast iron,grade,malleable_cast_iron,金属与合金 > 黑色金属 > 铸铁 > 可锻铸铁 > KTH350-10
austenitic_cast_iron,奥氏体铸铁,Austenitic cast iron,subfamily,cast_iron,金属与合金 > 黑色金属 > 铸铁 > 奥氏体铸铁
gray_cast_iron,灰铸铁,Grey cast iron,subfamily,cast_iron,金属与合金 > 黑色金属 > 铸铁 > 灰铸铁
cast_ht200,HT200,HT200 grey cast iron,grade,gray_cast_iron,金属与合金 > 黑色金属 > 铸铁 > 灰铸铁 > HT200
cast_ht250,HT250,HT250 grey cast iron,grade,gray_cast_iron,金属与合金 > 黑色金属 > 铸铁 > 灰铸铁 > HT250
ductile_cast_iron,球墨铸铁,Ductile iron,subfamily,cast_iron,金属与合金 > 黑色金属 > 铸铁 > 球墨铸铁
cast_qt400_18,QT400-18,QT400-18 ductile iron,grade,ductile_cast_iron,金属与合金 > 黑色金属 > 铸铁 > 球墨铸铁 > QT400-18
cast_qt500_7,QT500-7,QT500-7 ductile iron,grade,ductile_cast_iron,金属与合金 > 黑色金属 > 铸铁 > 球墨铸铁 > QT500-7
cast_qt600_3,QT600-3,QT600-3 ductile iron,grade,ductile_cast_iron,金属与合金 > 黑色金属 > 铸铁 > 球墨铸铁 > QT600-3
white_cast_iron,白口铸铁,White cast iron,subfamily,cast_iron,金属与合金 > 黑色金属 > 铸铁 > 白口铸铁
heat_resistant_cast_iron,耐热铸铁,Heat-resistant cast iron,subfamily,cast_iron,金属与合金 > 黑色金属 > 铸铁 > 耐热铸铁
compacted_graphite_iron,蠕墨铸铁,Compacted graphite iron,subfamily,cast_iron,金属与合金 > 黑色金属 > 铸铁 > 蠕墨铸铁
cast_rut420,RuT420,RuT420 compacted graphite iron,grade,compacted_graphite_iron,金属与合金 > 黑色金属 > 铸铁 > 蠕墨铸铁 > RuT420
high_chromium_cast_iron,高铬耐磨铸铁,High-chromium wear-resistant cast iron,subfamily,cast_iron,金属与合金 > 黑色金属 > 铸铁 > 高铬耐磨铸铁
tpe_s,TPE-S,Styrenic thermoplastic elastomer,material,elastomers,高分子材料 > 弹性体 > TPE-S
tpo,TPO,Thermoplastic polyolefin,material,elastomers,高分子材料 > 弹性体 > TPO
tpu,TPU,Thermoplastic polyurethane elastomer,material,elastomers,高分子材料 > 弹性体 > TPU
tpv,TPV,Thermoplastic vulcanizate,material,elastomers,高分子材料 > 弹性体 > TPV
iir,丁基橡胶,Butyl rubber,material,elastomers,高分子材料 > 弹性体 > 丁基橡胶
nbr,丁腈橡胶,Nitrile rubber,material,elastomers,高分子材料 > 弹性体 > 丁腈橡胶
sbr,丁苯橡胶,Styrene-butadiene rubber,material,elastomers,高分子材料 > 弹性体 > 丁苯橡胶
epdm,三元乙丙橡胶,EPDM rubber,material,elastomers,高分子材料 > 弹性体 > 三元乙丙橡胶
hnbr,氢化丁腈橡胶,Hydrogenated nitrile rubber,material,elastomers,高分子材料 > 弹性体 > 氢化丁腈橡胶
cr_rubber,氯丁橡胶,Chloroprene rubber,material,elastomers,高分子材料 > 弹性体 > 氯丁橡胶
br,顺丁橡胶,Polybutadiene rubber,material,elastomers,高分子材料 > 弹性体 > 顺丁橡胶
unsaturated_polyester_resin,不饱和聚酯树脂,Unsaturated polyester resin,material,thermosetting_resins,高分子材料 > 热固性树脂 > 不饱和聚酯树脂
vinyl_ester_resin,乙烯基酯树脂,Vinyl ester resin,material,thermosetting_resins,高分子材料 > 热固性树脂 > 乙烯基酯树脂
bisphenol_a_epoxy,双酚A型环氧树脂,Bisphenol-A epoxy resin,variant,epoxy_resin,高分子材料 > 热固性树脂 > 双酚A型环氧树脂
bismaleimide_resin,双马来酰亚胺树脂,Bismaleimide resin,material,thermosetting_resins,高分子材料 > 热固性树脂 > 双马来酰亚胺树脂
silicone_resin,有机硅树脂,Silicone resin,material,thermosetting_resins,高分子材料 > 热固性树脂 > 有机硅树脂
cyanate_ester_resin,氰酸酯树脂,Cyanate ester resin,material,thermosetting_resins,高分子材料 > 热固性树脂 > 氰酸酯树脂
phenolic_resin,酚醛树脂,Phenolic resin,material,thermosetting_resins,高分子材料 > 热固性树脂 > 酚醛树脂
novolac_epoxy,酚醛环氧树脂,Novolac epoxy resin,variant,epoxy_resin,高分子材料 > 热固性树脂 > 酚醛环氧树脂
ectfe,ECTFE,Ethylene chlorotrifluoroethylene,material,fluoropolymers,高分子材料 > 热塑性塑料 > 含氟聚合物 > ECTFE
etfe,ETFE,Ethylene tetrafluoroethylene,material,fluoropolymers,高分子材料 > 热塑性塑料 > 含氟聚合物 > ETFE
fep,FEP,Fluorinated ethylene propylene,material,fluoropolymers,高分子材料 > 热塑性塑料 > 含氟聚合物 > FEP
pfa,PFA,Perfluoroalkoxy alkane,material,fluoropolymers,高分子材料 > 热塑性塑料 > 含氟聚合物 > PFA
pvdf,PVDF,Polyvinylidene fluoride,material,fluoropolymers,高分子材料 > 热塑性塑料 > 含氟聚合物 > PVDF
mxd6,MXD6,Polyamide MXD6,material,polyamide,高分子材料 > 热塑性塑料 > 工程热塑性塑料 > 聚酰胺 > MXD6
pa11,PA11,Polyamide 11,material,polyamide,高分子材料 > 热塑性塑料 > 工程热塑性塑料 > 聚酰胺 > PA11
pa12,PA12,Polyamide 12,material,polyamide,高分子材料 > 热塑性塑料 > 工程热塑性塑料 > 聚酰胺 > PA12
pa46,PA46,Polyamide 46,material,polyamide,高分子材料 > 热塑性塑料 > 工程热塑性塑料 > 聚酰胺 > PA46
pa6,PA6,Polyamide 6,material,polyamide,高分子材料 > 热塑性塑料 > 工程热塑性塑料 > 聚酰胺 > PA6
pa610,PA610,Polyamide 610,material,polyamide,高分子材料 > 热塑性塑料 > 工程热塑性塑料 > 聚酰胺 > PA610
pa612,PA612,Polyamide 612,material,polyamide,高分子材料 > 热塑性塑料 > 工程热塑性塑料 > 聚酰胺 > PA612
pa66,PA66,Polyamide 66,material,polyamide,高分子材料 > 热塑性塑料 > 工程热塑性塑料 > 聚酰胺 > PA66
pa6t,PA6T,Polyamide 6T,material,polyamide,高分子材料 > 热塑性塑料 > 工程热塑性塑料 > 聚酰胺 > PA6T
pa9t,PA9T,Polyamide 9T,material,polyamide,高分子材料 > 热塑性塑料 > 工程热塑性塑料 > 聚酰胺 > PA9T
gf_pa6,玻纤增强PA6,Glass-fibre-reinforced PA6,variant,polyamide,高分子材料 > 热塑性塑料 > 工程热塑性塑料 > 聚酰胺 > 玻纤增强PA6
